product_name,sku,price,category,stock_quantity
Almond Flour Pizza Crust,1,$9.54,Food - Frozen Foods,92
Pet Carrier Backpack,2,$3.82,Pets,56
Honey,3,$0.67,Food - Condiments,35
Smartphone Photography Tripod,4,$9.48,Electronics,39
Sun-Dried Tomatoes,5,$0.30,Food - Vegetables,55
Teriyaki Chicken Stir-Fry,6,$3.75,Food - Frozen Foods,91
Yoga Strap,7,$8.67,Fitness,40
Carrot Sticks,8,$8.78,Food - Produce,87
Floral Wrap Top,9,$2.74,Clothing - Tops,59
Chocolate Chip Cliff Bars,10,$2.47,Food - Snacks,34
Tailored Dress Pants,11,$4.21,Clothing - Bottoms,39
DIY Candle Making Kit,12,$9.55,Crafts,64
Desk Organizer Set,13,$8.03,Office,35
Handheld Vacuum,14,$1.24,Home Appliances,31
Organic Fruit Salad,15,$3.92,Food - Produce,22
Craft Beer Mustard,16,$4.18,Food - Condiments,50
Smartphone Gimbal,17,$6.34,Electronics,72
Spicy Kimchi,18,$6.88,Food - Condiments,49
Electric Toothbrush,19,$9.22,Health,89
Slim Fit Chinos,20,$3.72,Clothing - Pants,61
Tahini,21,$9.11,Food - Condiments,9
Whole Grain Hamburger Buns,22,$7.38,Food - Bakery,26
Inspirational Wall Art,23,$9.67,Home,62
Organic Coconut Flour,24,$8.67,Food - Baking,62
Chocolate Coconut Protein Balls,25,$3.26,Food - Snacks,15
Diced Tomatoes (canned),26,$9.80,Food - Canned Goods,60
Caramelized Onion Dip,27,$4.22,Food - Dairy,9
Almond Flour Biscuits,28,$1.29,Food - Bakery,72
Canned Sardines,29,$0.52,Food - Seafood,37
Apricot Jam,30,$5.09,Food - Condiments,71
